,content,Pro Trump,Pro Biden,Neutral,one_hot_labels,sarcasm_labels
20,"Hearing that @realDonaldTrump may replace Alex Trebek on @Jeopardy is the second worst thing I’ve heard this week. People are misunderstanding it, Donal Trump is in jeopardy, not hosting it #ByeByeTrump #biden2020 #RIPAlexTrebek #ElectionDay",0,1,0,[0 1 0],regular
21,"Just saw these and thought 💭 
.
.
#trump #donaldtrump #thedonald #election #thewhitehouse #usa #usatoday #drinks #vodka #saturdayvibes #saturdaynight #iminlove @ London, United Kingdom https://t.co/Y6dwBeaQap",0,0,1,[0 0 1],regular
22,What the f is that hand gesture? #trump,0,0,1,[0 0 1],regular
23,I like #Biden but am afraid of #Harris not for herself but who is married with...,0,1,0,[0 1 0],regular
24,Use your power! #NovemberIsComing https://t.co/Isws3WPeAV,0,0,1,[0 0 1],regular
25,"TRUMP
ã€‚ã€‚",1,0,0,[1 0 0],regular
26,"I was SO surprised to hear one of my older kids ask if i supported trump or biden. I said biden and she asked me why. i wanted to say â€œbc heâ€™s a menace who fucked up my country and ruined uncountable livesâ€ but i held my tongue and gave my kid-friendly ver, â€œbc hes stupidâ€. XD",1,0,0,[1 0 0],regular
27,"@DaleneKurtis Although the American justices authority are well aware of the criminal  treatment in presidency election but, they are effected by some influenced people and are playing with Trump,s group",0,1,0,[0 1 0],regular
28,"If you called this democracy I call it fraud.
America deserves better than someone like Joe Biden and George Soros.
Keep America greatðŸ‡ºðŸ‡¸ https://t.co/65SjmURazt",1,0,0,[1 0 0],regular
29,"I'm  old enough to remember  how a President involved in less serious Biden's  corruption.  by far. resigned.

Biden needs to resign as nominee and apologize to american people
#BidenUkraineScandal",1,0,0,[1 0 0],regular
30,@realDonaldTrump And yet you still lost #ByeByeTrump,0,1,0,[0 1 0],regular
31,"Congratulations @JoeBiden 
#MakeAmericaGreatAgain 
🇮🇳🤝🇺🇸
🙏🏻",0,1,0,[0 1 0],regular
32,"We are Dedsec. We encourage the American people to make an informed decision in this historic moment.

#VoteResponsibly #VoteBidenHarrisToSaveAmerica #VOTE #VoteHimOut #Vote2020 #VoteBlueToEndTheNightmare https://t.co/pmhRcdCwDz",0,1,0,[0 1 0],regular
33,"ðŸ‡ºðŸ‡¸It's final: Joe Biden 306, Donald Trump 232
Biden wins Georgia. 
Trump wins North Carolina. https://t.co/Z2jL30klyu @ Asti https://t.co/hvzGy7Y4sj",0,0,1,[0 0 1],regular
34,"F u c k , Joe Biden",1,0,0,[1 0 0],regular
35,"@iamwandasykes When supporters of Donald Trump come together, it is a festival of patriotic love. When Joe Biden's supporters come together, businesses are destroyed and people get hurt!",1,0,0,[1 0 0],regular
36,"Thank you very much @MichelonNicolas #AsiaPowerWatch for publishing my article on #LatinAmerica as the new battlefield of #China-#US competition. #Trump might be to blame, but with #Biden we can expect no major changes. https://t.co/r6JkKlNqnF @CEI_UCA @sinoargentino",0,0,1,[0 0 1],regular
37,"Congratulations Mr.@JoeBiden &amp; Mrs. @KamalaHarris on your tremendous victory.
#USElection2020 #USElections #USElectionResults2020 #46thPresident #AmericaElection #BidenHarris2020 #Biden #KamalaHarris #America # https://t.co/kO9tMvcbGM",0,1,0,[0 1 0],regular
38,@kalsoom82 @realDonaldTrump all the way #MAGA,1,0,0,[1 0 0],regular
39,"The liberation of Shusha is a strategic turning point in the war for the Nagorno-Karabakh. Commentators look toward this event with hope, as the future of Azerbaijan blossoms from the reconstruction of Shusha.Â #KarabakhisAzerbajian @CNN @BBCNews @JoeBiden  https://t.co/8UglGV5dYG",0,0,1,[0 0 1],regular
40,"Mainstream Media or Democratic Affiliated Funded Polls    = #Biden wins.
Twitter all polls we saw the last of couple of months on plenty different accounts till today = #Trump landslide win !
Trying to influence, manipulate again, like we say in 2016 !
Democrats are desperate ! https://t.co/b3ajSJoruQ",1,0,0,[1 0 0],regular
41,"Jewish organizations refraining from calling Joe Biden ""President-Elect"" are a disgrace: ""Rabbi Chanina, deputy to the kohanim, would say: Pray for the integrity of the government; for were it not for the fear of its authority, a man would swallow his neighbor alive."" (Avot 3)",0,1,0,[0 1 0],regular
42,"@SalindaSam @notpotbrownie forgive me but whatever answer you give as to why Trump is your choice is beyond me. Because in the end of the day, neither him nor Joe Biden gives a rat's ass about countries like ours.",0,0,1,[0 0 1],regular
43,@SenJoniErnst Totally inexperienced. Bad call Joni. #NovemberIsComing,0,0,1,[0 0 1],regular
44,The Smile of Hope of the World ❤️ !!! Congratulations President 🎉  #ByeByeTrump #JoeBiden #bidenharis2020 #Biden https://t.co/hRRYAfVbAh,0,1,0,[0 1 0],regular
45,How do I get US citizenship in time to vote for him in 2024. Absolute media dream ❤️ #MyPresident I need one of those interning gigs @PeteButtigieg https://t.co/bpdaqQVeLB,0,0,1,[0 0 1],regular
46,#AmericaDecides2020 newhampshire   #SleepyJoe % 31  #DonaldTrump  %69,1,0,0,[1 0 0],regular
47,"@artguy_66 @world_of_pop_ @JoeBiden @realDonaldTrump Very funny, it’s the decency #Biden supporters have!",0,1,0,[0 1 0],regular
48,How #HunterBiden's scandals might jeopardize #JoeBidenIsSick's presidential run https://t.co/vc43IuMQDn @MailOnline,1,0,0,[1 0 0],regular
49,When you wake up and see Joe Biden has more votes than Donald Trump but then remember you don’t have a clue how the US voting system works. 😀😃😀 #Biden #Elections2020 #Trump2020 #USElection2020 https://t.co/8hX7wqSWeE,0,1,0,[0 1 0],regular
50,@56blackcat @agreatgadsby Can I get a #FuckTrump Let's Go !! RT,0,1,0,[0 1 0],regular
51,"Congratulations to the President-elect of the United States, Donald Trump, do not worry, you will be our president for many more good years !!ðŸ‡±ðŸ‡·ðŸ‡±ðŸ‡·

@realDonaldTrump https://t.co/CK1W2mhOSL",1,0,0,[1 0 0],regular
52,"Trump's advantage in #Pennsylvania and #Georgia is melting. #Biden might win without #Nevada.
#USElection2020 https://t.co/CVIqmWe6jP",0,1,0,[0 1 0],regular
53,"@ThePolderBaan @JoeBiden I’m not sure the thread is that excellent — it looks like it’s full of hatred to something that is genuinely amazing.
Legalized bribery, on the other hand, isn’t such a great thing indeed.",1,0,0,[1 0 0],regular
54,"Biden or trump ,, who's going to win 
Biden ,biden ,biden 
I think Joe Biden 

#ElectionDay2020 #ElectionNight #BidenHarris2020 #Trump2020 
#AmericasGreatestMistake",0,1,0,[0 1 0],regular
55,So excited #VoteTrump,1,0,0,[1 0 0],regular
56,"The #Election2020  wasn’t about @JoeBiden, it was about #America reclaiming it’s dignity, it’s decency, and it’s humanity as a nation. @VanJones68 sums it up more powerfully than anyone else I’ve heard yet. It’s time to #MakeAmericaGreatAgain https://t.co/DfZaFVMJel",0,0,1,[0 0 1],regular
57,"Surge of Anger  
#آبان_خونین #آبان98 #عصبانیت #خشم
#trump is angry
Everyone is #angry https://t.co/AQkFPL83KW",0,1,0,[0 1 0],regular
58,Welcome to #MAGA https://t.co/G0F7hUxazT,1,0,0,[1 0 0],regular
59,"He’ll get over it. It’s the older people that ignore facts, that should know better, that I’m concerned about. #VoteHimOut https://t.co/C15SZJSsAX",0,1,0,[0 1 0],regular
60,"@indygadgetguy @JoeBiden @KBeds My PM is known to wear some cool socks at times, too.",0,0,1,[0 0 1],regular
61,@JoeBiden  Why? Are you already dog whistling to the hate Israel crowd who glorify terrorism? Do you actually want a 3rd intifada with our kids blown up on buses? She would support it.  Why would you do this otherwise? https://t.co/WaHCt0EstW,1,0,0,[1 0 0],regular
62,"@thelauracoates @biden It says:

*Hello Sleepy Joe, this is to tell you that I won bigly! I Won by a lot! Rigged fake  Elections. MAGA!*

*Bye, Donald The Magnificent*",0,0,1,[0 0 1],regular
63,"@TheLeeGreenwood @DanScavino God bless you Lee🙏

Your song brought unlimited enthusiasm in evry #MAGARally🇺🇸💪since last 4 years.

We will win Big on Nov 03🇺🇸💪(Day after tomorrow)

Let's #MakeAmericaGreatAgain &amp; Again🇺🇸🙏

#FourMoreYears 🇺🇸🇺🇸🇺🇸🙏 https://t.co/nAuv2QE7wo",1,0,0,[1 0 0],regular
64,"Vote for Joe Biden, Out Trump. ðŸ‡ºðŸ‡¸ #Vote #Biden ðŸ’™ Fora #Trump ðŸ¤¢ #USA em Brazil https://t.co/35kJ5Hu0vM",0,1,0,[0 1 0],regular
65,Looking forward to the readout of the call between Biden and the Taiwan President. https://t.co/pzBCyPPfx5,0,0,1,[0 0 1],regular
66,"Second Memory Card With 2,755 Votes Found During Georgia Election Audit, Decreasing Biden Lead | Zero Hedge https://t.co/qT53l5AsRa",0,0,1,[0 0 1],regular
67,At last we can say with total freedom and security #ByeByeTrump https://t.co/8BTVOxQkdM,0,1,0,[0 1 0],regular
68,"Make the WORLD great again. Do the right thing America #AmericaDecides2020
#USElections2020
#VoteTrumpOut",0,1,0,[0 1 0],regular
69,@McFlavour7 @realDonaldTrump Trump going to jail will hopefully be 2021s gift to the world. To make up for 2020,0,1,0,[0 1 0],regular
70,#MAGA you’re backing the wrong person. #BidenHarris2020 #VoteBlueToEndTheNightmare ✌🏽✨ https://t.co/y72jzP1Lpd,0,1,0,[0 1 0],regular
71,"#Nevada be BRAVE! 
FREEDOM or else this lunatic pedophile called Biden will close YOU,US FOREVER!! We wil be just their slavesâ€¼ï¸
â€¼ï¸END the ROBBERYâ€¼ï¸
NEVADA IS FOR @realDonaldTrump ðŸ”´",1,0,0,[1 0 0],regular
72,BEST JOG EVER!💙 #joebiden #PresidentBiden2020 #PresidentBiden #BidenJog https://t.co/mICSEi98QO,0,1,0,[0 1 0],regular
73,"@williamlegate The paranoia as the #TeamTrump campaign begins to unravel, is delightful to watch! None of the swamp denizens can figure out how to stop the bleeding. Shame, that 😏 #VoteBidenHarrisToSaveAmerica",0,1,0,[0 1 0],regular
74,@Trump_Detester @Pamela53258082 You don't follow back. Click bait...get your numbers up.,0,0,1,[0 0 1],regular
75,"@TeamTrump @LaraLeaTrump @SidneyPowell1 @BurgessOwens We will win Big on Nov 03🇺🇸💪

All the best for Burgess Owens 👍

#TrumpPence2020🇺🇸🇺🇸🇺🇸🙏

#FourMoreYears 🇺🇸🇺🇸🇺🇸🙏

#MakeAmericaGreatAgain 🇺🇸🇺🇸🇺🇸🙏

I am sure we will see the #RedWave on Nov 03🇺🇸💪 https://t.co/YLeG1DquDL",1,0,0,[1 0 0],regular
76,"Watching #AmericaDecides2020 by @SkyNews with @YouTube 
Objetive and impartial 
No Biden support
No Trump support
@JoeBiden @realDonaldTrump 
All American comunications media have partial support for anyone 
Reality 
https://t.co/lr04mnhsio",0,0,1,[0 0 1],regular
77,@IlhanMN Trump 2024!,1,0,0,[1 0 0],regular
78,"@TerriToung @Darren75470220 @BBCWorld Regardless of that Dick Rudy . If you don’t think that hunter biden is corrupt , dirty and that family has made money from under table deals you are delusional. Ask yourself how a career politician has made that kind of wealth? Really?",1,0,0,[1 0 0],regular
79,"Just because you say it doesn't make it true.
#PresidentialDebate2020
#PresidentTrump
#debates #debate #Biden #debate2020",0,1,0,[0 1 0],regular
80,Seems like what's happening in Pennsylvania and Georgia is more #PAGA than #MAGA.....,0,0,1,[0 0 1],regular
81,Taiwan President Urges Calm As Pro-Trump Citizens Panic Amid Biden Vote Surge https://t.co/eKKMennSlJ,1,0,0,[1 0 0],regular
82,Got my 2nd graders chanting “#Biden”,0,1,0,[0 1 0],regular
83,"@JenSelter Fortunately , No .. #ElectionDay #Trump #Biden",0,1,0,[0 1 0],regular
84,"@reconsidered It’s time to know that #Biden is not total democracy, actually no one is democracy. There is no so called democracy as we seeking for. Hope some day conditions change in favor of the people.",0,0,1,[0 0 1],regular
85,"@JoeBiden for America 🇺🇸
F u @realDonaldTrump

Greetings from India 🇮🇳 
Congrats Mr president, please make america great again 👍 😂 best wishes
Please don't f up 😂🤗

Yo i mean that 😂 😂 

#America #Congratulations #Americans #GodBlessAmerica #JoeBiden #DrainTheSwamp #mrtune",0,1,0,[0 1 0],regular
86,@spsbcb @HollandTaylor @MsSarahPaulson Same wishes here from Brazil 💚💛💙 #VoteHimOut 🙏🏻,0,1,0,[0 1 0],regular
87,"Where is our MOTA BHAI.?
why he is not helping donaald Trump to form government in America.. ( amrika) 

#AmericaDecides2020 #India #Elecciones2020 #modii #TrumpIsLosing #AmitShah",1,0,0,[1 0 0],regular
88,"#Texas Democratic Party - Organizing’s event, “Battle for the Soul of Our Nation Bus Tour - #FortWorth Stop” –  https://t.co/hx3ak3WJXU #Texas #NovemberIsComing",0,0,1,[0 0 1],regular
89,Former President Bush congratulated President-elect Joe Biden and Vice President-elect Kamala Harris on their win https://t.co/vkx6dGJ4vm,0,0,1,[0 0 1],regular
90,"Let’s think, instead, about the Israeli version of Biden. One might imagine that the Israeli Biden would go to great lengths to explain that he would use the Jews’ votes just once so the local “electoral board” would elect him. (From my article in Haaretz)",1,0,0,[1 0 0],regular
91,"#deleteTrump #DonaldTrump #YOUREFIRED #ByeByeTrump #Election2020results #bidenharis2020 #Election2020 #CongratulationsJoeBiden #CongratulationsAmerica #POTUS46 

Congratulations @JoeBiden and bye bye @realDonaldTrump 
Let America become 👍 great 
White house is waiting...... https://t.co/BrlwqMELb1",0,1,0,[0 1 0],regular
92,"""Joe Biden will face an inbox of complex foreign policy problems from the start | Joe Biden | The Guardian"" https://t.co/AVfN9LBVq4",0,0,1,[0 0 1],regular
93,"Another crazy adventure waving Trump flags https://t.co/St2gumdDz3 via @YouTube

#Trump 2020  #50 Red #MAGA",1,0,0,[1 0 0],regular
94,"@GenFlynn @lofly727 @TJHproject @SidneyPowell1 @BarbaraRedgate @GoJackFlynn @JosephJFlynn1 @flynn_neill @FieldofFight Victory is with the patriots
#RestartLeader 
#RestartMIGA 
#Trump2020 
@GenFlynn",0,0,1,[0 0 1],regular
95,"Still. My favorite part of #electionseason is  @JohnKingCNN &amp; the magic board. 😅 

#DontBooVote #VoteTexas #earlyvote #WinterIsComing #NovemberIsComing",0,0,1,[0 0 1],regular
96,"@realDonaldTrump Get well soon sir. The world needs you, US needs you for one more term. #MakeAmericaGreatAgain Lots of love to you and ur family.",1,0,0,[1 0 0],regular
97,"Michigan COVID-19 Death Count Tops 7k, Numbers On The Rise 
#COVID19 #CovidTesting #Michigan #USA #USElection2020 #coronavirus #VaccinesWork #vaccines #DonaldTrump #JoeBiden #PandemicSpecial #PandemicIsNotOver 
https://t.co/93SQEmPdzS via @TheTaiwanTimes",0,0,1,[0 0 1],regular
98,#IVoted First time voting via mail-in ballot. Completing my civic duty abroad from Taiwan! âœ¨ https://t.co/57Ui59S8Yl,0,0,1,[0 0 1],regular
99,"@BronwynScottMc His timeline is quite something as well. The usual covid is the flu, masks donâ€™t work stuff mixed with â€œBiden wants to ban raves and parties unlike fun-loving Donald Trumpâ€",1,0,0,[1 0 0],regular
100,Ok it’s whiskey time. #uselection #gettingnervous #votetrumpout,0,1,0,[0 1 0],regular
101,@JoeBiden Killer america is back. We can explain it.,0,1,0,[0 1 0],regular
102,"É tio, the house falls down. Sleepy Joe levou. 

#TrumpMeltdown",0,1,0,[0 1 0],regular
103,"@JoeBiden I want you to know that the majority of Mexicans do not vote for our current president, only 30 out of 122 million is not a majority, so at least for my part I wish him success and congratulate his victory, @lopezobrador_ does not represent me",0,1,0,[0 1 0],regular
104,"++ FORZA DONALD! ++
Sticazzi from Alatri 🇮🇹
Donald J. Trump
#Election2020 #MAGA #MAGA2020
#Trump
#Trump2020
#Salvinivergognati",1,0,0,[1 0 0],regular
105,lol but it’s biden,0,0,1,[0 0 1],regular
106,"“Mosaic of Donald Trump, made from 500 dick pics by homopower on tumblr.”
#EresArte https://t.co/9iAZphhMWZ",0,1,0,[0 1 0],regular
107,"#Trump: The “least racist person”
https://t.co/crdlIVQwij",0,0,1,[0 0 1],regular
108,Mail in ballots https://t.co/9Q6mgsTmjZ,0,0,1,[0 0 1],regular
109,"In the post Trump world, @aarondmiller2 suggests that @JoeBiden comes to the International arena with a modest approach and ambitious and achievable goals. 
https://t.co/MVqJXAbnOD",0,1,0,[0 1 0],regular
110,"@CinemaniaLondon Would you vote for any particular politician just because your favourite celebrity told you to do so?

#USElection #Trump #Biden #Election2020",0,0,1,[0 0 1],regular
111,"Trump pardons former campaign chairman Paul Manafort, Charles Kushner, Roger Stone https://t.co/ASNubFU9uQ via @BostonDotCom",0,0,1,[0 0 1],regular
112,"#VoteHimOut #Trump disgrace to America , To Americans 😢 to Democracy! https://t.co/GfTVs32i1J",0,1,0,[0 1 0],regular
113,@JoeBiden Love you,0,1,0,[0 1 0],regular
114,"@realDonaldTrump @ForSyteSaga2013 🔴 „A great man is enough to save the world 🌎.“ Mr. President, we stand with you till the earliest celebration of your victory against #NeverBiden!!!

#Trump2020
#TRUMP2020ToSaveTheWorld",1,0,0,[1 0 0],regular
115,Reema Dodin is first Arab-American named in Joe Biden’s White House https://t.co/mNkb549E5r via @TheNationalNews,0,1,0,[0 1 0],regular
116,"Vote for Joe Biden, Out Trump. ðŸ‡ºðŸ‡¸ #Vote #Biden ðŸ’™ Fora #Trump ðŸ¤¢ #USA em Brazil https://t.co/QHM2iSHl7d",0,1,0,[0 1 0],regular
117,"WTF? “Kremlin, experts say, could demand Biden lift Trump-imposed sanctions, or ask that the US make a statement praising Russia’s military presence in Nagorno-Karabakh [in exchange for New START extension]”. This is nuts. Who are those “experts”? https://t.co/QP0VDrcKRa",0,0,1,[0 0 1],regular
118,"@Pismo_B Go Trump
#MAGA",1,0,0,[1 0 0],regular
119,@JoeBiden @eric_mazur From where?,0,0,1,[0 0 1],regular
120,"@ddlovato From Brazil, we're all watching. Today we're all Americans. This elections impacts us all. Count every God damn vote until there is no tomorrow. #Biden",0,0,1,[0 0 1],regular
121,4 more years ! #Trump2020 #MAGA https://t.co/T2OCyA2mHw,1,0,0,[1 0 0],regular
122,"His next job could be in cyber!! 🤡

#trump #cyber #fatima #retrain #YMCA https://t.co/3hPJbt9NMz",0,0,1,[0 0 1],regular
123,"Look how sharply he talks
#Trump  #Biden
#ترامپ #بایدن #انتخابات_آمریکا https://t.co/3SyoEYLKbm",0,1,0,[0 1 0],regular
124,"#SaudiArabia preferred a #Trump win. Their fears of a #Biden presidency may be well-founded

https://t.co/Shk2jwPJNE",1,0,0,[1 0 0],regular
125,Count me in! There's going to be alot of work for #BidenHarrisAdministration to #DrainTheSwamp . https://t.co/DGH7IH04fa,0,0,1,[0 0 1],regular
126,"Hey @lisamurkowski history is going to see you as a traitor to women.  We will make sure of it.  Your grandchildren will be too ashamed to mention your name.  We are younger and will make sure of it.  #NovemberIsComing 
#Payback",0,0,1,[0 0 1],regular
127,@EricTrump They can’t wait the trumps  to vanish,1,0,0,[1 0 0],regular
128,"What kind of sock do you wear
#trump2020 #biden2020",0,0,1,[0 0 1],regular
129,Am wondering what would be people’s response when Modi’s and Biden’s hugging pics will come 🙂 #Modi #Biden,0,0,1,[0 0 1],regular
130,"Would you like to see 11 million illegal immigrants come to America? This is exactly what Joe Biden wants to do. He may take America to hell, and we must stand up and stop him! #President #America",1,0,0,[1 0 0],regular
131,"Joe Biden itâ€™s such like Alberto FernÃ¡ndez in Argentina, what only he wants to do is closing the hole country. As Trump said â€œwe canâ€™t keep this country closed, people are losing their jobs, they cure cannot be worse that the problem itselfâ€
#debates #Trump https://t.co/mIh0b6HPqH",1,0,0,[1 0 0],regular
132,"How can anyone not vote for you ! This is epic 🤣 @realDonaldTrump #TrumpvsBiden
#Trump2020 #Vote2020 #VoteTrump
https://t.co/M84QaUJ4yO",1,0,0,[1 0 0],regular
133,#Iran goverment when sees that #Trump posted positive for #COVID19 https://t.co/sJamGxC9es,0,0,1,[0 0 1],regular
134,"Breaking: Nigerian Democrats are in a closed door meeting with #TeamBiden

Details to come soon.",0,0,1,[0 0 1],regular
135,"#BidenHarris
#BlueWave2020
#VoteLikeYourLifeDependsOnIt
We people of the Middle East can't vote in #USElections2020 but your vote will affect so many aspects of our lives. Here me out. https://t.co/3GckpFQ0h0",0,1,0,[0 1 0],regular
136,What is joe bidenâ€™s plan to get Frank Ocean drop new album?,0,0,1,[0 0 1],regular
137,"Give me my refund @airindiain 7 months and waiting 
#airindia #airindiarefund #airlines #airtravel2020 #ByeByeTrump #ArnabGoswamy #Trump #BidenHarris",0,0,1,[0 0 1],regular
138,@Kehlani Oh please stay our friend (we love trump )😊🙏🏻,1,0,0,[1 0 0],regular
139,@ani_digital @ANI Thatâ€™s fake . They will never vote for sleepy Joe . #Trump2020,1,0,0,[1 0 0],regular
140,"@DesiPoliticks @JoeBiden seems to be a gentle man ...even after  ""abki baar Trump sarkar"" Nautanki he took the call .....",0,0,1,[0 0 1],regular
141,"The last four years has been wild, America. Congrats to @KamalaHarris and @JoeBiden #ElectionResults2020 #MakeAmericaGreatAgain",0,1,0,[0 1 0],regular
142,"This is progress acknowledging missteps of our past. Well done @JoeBiden: Deb Haaland: Historic Native American 'pick for Biden cabinet' @DebHaalandNM
https://t.co/8mixJgpP5a",0,0,1,[0 0 1],regular
143,@realDonaldTrump GO TRUMP GO ðŸ‡¯ðŸ‡µðŸ¤ðŸ‡ºðŸ‡¸,1,0,0,[1 0 0],regular
144,Effect #ByeByeTrump https://t.co/MCbZ6kMyxl,0,1,0,[0 1 0],regular
145,"Finally and officially..!!
Welcome @JoeBiden  ☺️🇺🇸
.
.
#TrumpvsBiden
#Biden
#Trump",0,1,0,[0 1 0],regular
146,#America is back @JoeBiden @JohnKerry @ABlinken #multilateralism https://t.co/tyax1aqZep,0,1,0,[0 1 0],regular
147,"@realDonaldTrump Hello Trump, for us Iranians, do your best to become president. Do not be disappointed. We are happy with your presidency.",1,0,0,[1 0 0],regular
148,Yes to all of this! @jomalleydillon inspired us to do hard things on the campaign. I know she will bring the same determination and focus as we #buildbackbetter in the @JoeBiden administration. 💪🏽🇺🇸 https://t.co/hUjYdXBy7Z,0,1,0,[0 1 0],regular
149,"Fuck, of course they have thawed out prehistoric worms, because 2020 isn't fucked up enough. Talk about a ""Hold my beer"" Moment or in this case ""Hold my Vodka"" #FFS #NOPE #moron #stfu #TwentyTwenty #NovemberIsComing #bingocard #whatsnext #juststop https://t.co/s3dxb6t0i2",0,0,1,[0 0 1],regular
150,"#ByeByeTrump ,#ElTunjo ,in the candittion pressidenc in Colombia 2022-2027, happy in the people the united state,ford the election un the presSident Jhon Biden,congratulettion!!#ElTunjo",1,0,0,[1 0 0],regular
151,@realDonaldTrump Never give up we will win we people follow president trump forever,1,0,0,[1 0 0],regular
152,Glad to see where you stand regarding Kosovo’s independence! #VoteHimOut https://t.co/Eo6SAhVjuR,0,1,0,[0 1 0],regular
153,"@creycrey2234 @elgringoloco54 @Balaram88022543 @BobPersis @JoeBiden Ah yes, because we all know American politics and our economy don't affect any other countries at all.",0,0,1,[0 0 1],regular
154,"When we with evidence of #VoterFraud claim the dead voted for #CreepyJoeBiden this also includes the Living Dead!

Please #MAGA #KAG #Patriots listen to this #Liberal schooled woman, explain basic tax mathematics to the world. https://t.co/jgH9S1x4yU",1,0,0,[1 0 0],regular
155,"Friday sees more smiles than any other day of the workweek!
-Kate Sunmers-
#USAelection2020 #bidenharis2020 #FridayMotivation #FridayThoughts #FridayFeeling #FridayVibes #RunningWithTumiSole #USElectionResults2020 #TrumpIsLosing #BidenHarrisToEndThisNightmare #ByeByeTrump https://t.co/uHAnW6EFa6",0,1,0,[0 1 0],regular
156,@JoeBiden thanks from Mexico City and from the world. You defeated a monter. You are a real heroe.,0,1,0,[0 1 0],regular
157,"Why can't trump go to white house anymore?
Because it is FOR BIDEN.
😂
#2020Elections #TrumpIsLosing",0,1,0,[0 1 0],regular
158,"@realDonaldTrump @Facebook Maybe they’re all dead 🦠 👩‍👩‍👧‍👧👩‍👧‍👧 💀 
#IdiotInChief #NotMyPresident #moron #dotard #bebest #MAGA #vote",1,0,0,[1 0 0],regular
159,The only transition Joe Biden is going to.have is a Prison sentence for Election.Fraud and 25 other Democrats will.join him https://t.co/xc3zhKOPUz,1,0,0,[1 0 0],regular
160,@JoeBiden You cheated and you know it.,1,0,0,[1 0 0],regular
